vehicleID,totalPassengers,totalDistance,avOccupancy,trips/VKT,sharedProp,deadheadProp,shared,deadhead
taxi10,0,90.4350021617487,0.0,0.0,0.0,1.0,0,90.4350021617487
taxi9,0,89.44264731928705,0.0,0.0,0.0,1.0,0,89.44264731928705
taxi8,0,84.95497645325959,0.0,0.0,0.0,1.0,0,84.95497645325959
taxi1,0,89.21665031127631,0.0,0.0,0.0,1.0,0,89.21665031127631
taxi3,0,93.05364078478885,0.0,0.0,0.0,1.0,0,93.05364078478885
taxi2,0,91.12408473966642,0.0,0.0,0.0,1.0,0,91.12408473966642
taxi5,0,86.12720562983306,0.0,0.0,0.0,1.0,0,86.12720562983306
taxi4,0,92.80205492777748,0.0,0.0,0.0,1.0,0,92.80205492777748
taxi7,0,85.10683237034827,0.0,0.0,0.0,1.0,0,85.10683237034827
taxi6,0,84.983198438026,0.0,0.0,0.0,1.0,0,84.983198438026
